date,race,count,frac,Race
2021-01-01,ASIAN,1479,0.012170380388160252,Asian
2021-01-01,BLACK OR AFRICAN AMERICAN,5269,0.004527184681165943,Black/AfAm
2021-01-01,OTHER/MULTIRACIAL,7661,0.028215173947449712,OTHER/MULTIRACIAL
2021-01-01,UNKNOWN,52576,0,UNKNOWN
2021-01-01,WHITE,59902,0.011118996016589885,Caucasian/White
2021-01-02,ASIAN,1503,0.012367871347805854,Asian
2021-01-02,BLACK OR AFRICAN AMERICAN,5536,0.0047565941155693035,Black/AfAm
2021-01-02,OTHER/MULTIRACIAL,8679,0.03196442953790837,OTHER/MULTIRACIAL
2021-01-02,UNKNOWN,70364,0,UNKNOWN
2021-01-02,WHITE,68958,0.012799968737471292,Caucasian/White
2021-01-03,ASIAN,1562,0.012853369956934627,Asian
2021-01-03,BLACK OR AFRICAN AMERICAN,5740,0.004931873233989849,Black/AfAm
2021-01-03,OTHER/MULTIRACIAL,8931,0.032892536029849026,OTHER/MULTIRACIAL
2021-01-03,UNKNOWN,70644,0,UNKNOWN
2021-01-03,WHITE,70131,0.013017700738530688,Caucasian/White
2021-01-04,ASIAN,1637,0.013470529205827135,Asian
2021-01-04,BLACK OR AFRICAN AMERICAN,6075,0.005219709041200058,Black/AfAm
2021-01-04,OTHER/MULTIRACIAL,9565,0.035227534108779074,OTHER/MULTIRACIAL
2021-01-04,UNKNOWN,77784,0,UNKNOWN
2021-01-04,WHITE,74009,0.013737534242459364,Caucasian/White
2021-01-05,ASIAN,1713,0.014095917244704876,Asian
2021-01-05,BLACK OR AFRICAN AMERICAN,6692,0.0057498424532857265,Black/AfAm
2021-01-05,OTHER/MULTIRACIAL,10810,0.03981282213443824,OTHER/MULTIRACIAL
2021-01-05,UNKNOWN,84497,0,UNKNOWN
2021-01-05,WHITE,78855,0.014637047692701336,Caucasian/White
2021-01-05,ASIAN,1743,0.01434278094426188,Asian
2021-01-05,BLACK OR AFRICAN AMERICAN,6880,0.0059113741898693655,Black/AfAm
2021-01-05,OTHER/MULTIRACIAL,11113,0.04092875970212879,OTHER/MULTIRACIAL
2021-01-05,UNKNOWN,82223,0,UNKNOWN
2021-01-05,WHITE,80609,0.014962624785504558,Caucasian/White
2021-01-06,ASIAN,1806,0.014861194713331586,Asian
2021-01-06,BLACK OR AFRICAN AMERICAN,7620,0.006547190599826246,Black/AfAm
2021-01-06,OTHER/MULTIRACIAL,14513,0.05345083141878837,OTHER/MULTIRACIAL
2021-01-06,UNKNOWN,91078,0,UNKNOWN
2021-01-06,WHITE,86759,0.016104186427887583,Caucasian/White
2021-01-07,ASIAN,1833,0.01508337204293289,Asian
2021-01-07,BLACK OR AFRICAN AMERICAN,8080,0.006942427827637278,Black/AfAm
2021-01-07,OTHER/MULTIRACIAL,19006,0.06999838089612703,OTHER/MULTIRACIAL
2021-01-07,UNKNOWN,96818,0,UNKNOWN
2021-01-07,WHITE,89691,0.016648423620646446,Caucasian/White
2021-01-08,ASIAN,1855,0.015264405422608025,Asian
2021-01-08,BLACK OR AFRICAN AMERICAN,8948,0.007688223292289402,Black/AfAm
2021-01-08,OTHER/MULTIRACIAL,29315,0.1079660389334928,OTHER/MULTIRACIAL
2021-01-08,UNKNOWN,106383,0,UNKNOWN
2021-01-08,WHITE,93841,0.017418745704530926,Caucasian/White
2021-01-09,ASIAN,1748,0.014383924894188046,Asian
2021-01-09,BLACK OR AFRICAN AMERICAN,9184,0.007890997174383758,Black/AfAm
2021-01-09,OTHER/MULTIRACIAL,38029,0.14005937215083739,OTHER/MULTIRACIAL
2021-01-09,UNKNOWN,109492,0,UNKNOWN
2021-01-09,WHITE,93092,0.01727971648987322,Caucasian/White
2021-01-10,ASIAN,1641,0.013503444365768068,Asian
2021-01-10,BLACK OR AFRICAN AMERICAN,9352,0.008035344683671265,Black/AfAm
2021-01-10,OTHER/MULTIRACIAL,44375,0.1634314507137555,OTHER/MULTIRACIAL
2021-01-10,UNKNOWN,111335,0,UNKNOWN
2021-01-10,WHITE,92053,0.017086857539233228,Caucasian/White
2021-01-11,ASIAN,1553,0.012779310847067526,Asian
2021-01-11,BLACK OR AFRICAN AMERICAN,9349,0.008032767049576846,Black/AfAm
2021-01-11,OTHER/MULTIRACIAL,51352,0.18912747846879488,OTHER/MULTIRACIAL
2021-01-11,UNKNOWN,117682,0,UNKNOWN
2021-01-11,WHITE,91639,0.017010010950624026,Caucasian/White
2021-01-12,ASIAN,1474,0.012129236438234084,Asian
2021-01-12,BLACK OR AFRICAN AMERICAN,9262,0.007958015660838673,Black/AfAm
2021-01-12,OTHER/MULTIRACIAL,63502,0.23387547004450485,OTHER/MULTIRACIAL
2021-01-12,UNKNOWN,123422,0,UNKNOWN
2021-01-12,WHITE,92284,0.017129735708239807,Caucasian/White
2021-01-13,ASIAN,1407,0.011577907509223445,Asian
2021-01-13,BLACK OR AFRICAN AMERICAN,9448,0.008117828974692699,Black/AfAm
2021-01-13,OTHER/MULTIRACIAL,74162,0.27313584783850225,OTHER/MULTIRACIAL
2021-01-13,UNKNOWN,132123,0,UNKNOWN
2021-01-13,WHITE,95391,0.017706456362367295,Caucasian/White
2021-01-14,ASIAN,1407,0.011577907509223445,Asian
2021-01-14,BLACK OR AFRICAN AMERICAN,9774,0.008397931879619649,Black/AfAm
2021-01-14,OTHER/MULTIRACIAL,82192,0.30271003486343645,OTHER/MULTIRACIAL
2021-01-14,UNKNOWN,138857,0,UNKNOWN
2021-01-14,WHITE,98545,0.0182919011461195,Caucasian/White
2021-01-15,ASIAN,1470,0.01209632127829315,Asian
2021-01-15,BLACK OR AFRICAN AMERICAN,10856,0.009327598576340383,Black/AfAm
2021-01-15,OTHER/MULTIRACIAL,91734,0.3378528608400146,OTHER/MULTIRACIAL
2021-01-15,UNKNOWN,139301,0,UNKNOWN
2021-01-15,WHITE,109999,0.02041799009764066,Caucasian/White
2021-01-16,ASIAN,1444,0.011882372738677082,Asian
2021-01-16,BLACK OR AFRICAN AMERICAN,11203,0.009625744919928271,Black/AfAm
2021-01-16,OTHER/MULTIRACIAL,95536,0.3518554833890557,OTHER/MULTIRACIAL
2021-01-16,UNKNOWN,140526,0,UNKNOWN
2021-01-16,WHITE,112290,0.02084324501190074,Caucasian/White
2021-01-17,ASIAN,1426,0.01173425451894288,Asian
2021-01-17,BLACK OR AFRICAN AMERICAN,11242,0.009659254163155728,Black/AfAm
2021-01-17,OTHER/MULTIRACIAL,98947,0.36441806769068097,OTHER/MULTIRACIAL
2021-01-17,UNKNOWN,140289,0,UNKNOWN
2021-01-17,WHITE,112596,0.020900044664351018,Caucasian/White
2021-01-18,ASIAN,1396,0.011487390819385877,Asian
2021-01-18,BLACK OR AFRICAN AMERICAN,11304,0.009712525267773737,Black/AfAm
2021-01-18,OTHER/MULTIRACIAL,104797,0.38596339696787463,OTHER/MULTIRACIAL
