date,COUNTY,total_vax
2021-04-15,ROBERTSON,20632
2021-04-15,RUTHERFORD,83046
2021-04-15,SCOTT,6755
2021-04-15,SEQUATCHIE,2824
2021-04-15,SEVIER,26948
2021-04-15,SHELBY,290545
2021-04-15,SMITH,4022
2021-04-15,STEWART,3474
2021-04-15,SULLIVAN,52793
2021-04-15,SUMNER,51621
2021-04-15,TIPTON,13218
2021-04-15,TROUSDALE,2675
2021-04-15,UNICOI,6199
2021-04-15,UNION,4584
2021-04-15,VAN BUREN,2111
2021-04-15,WARREN,10594
2021-04-15,WASHINGTON,48986
2021-04-15,WAYNE,5186
2021-04-15,WEAKLEY,7560
2021-04-15,WHITE,7546
2021-04-15,WILLIAMSON,95898
2021-04-15,WILSON,43604
